state,name,legal_name,address,city,zip,county,license,phone,source
OR,Nectar,Nectar,,,,Multnomah,050-3041,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-3049,,OR state data
OR,Smooth Roots Multnomah,Smooth Roots Multnomah,,,,Multnomah,050-3054,,OR state data
OR,Tumbleweed Cannabis Co.,Tumbleweed Cannabis Co.,,,,Harney,050-3059,,OR state data
OR,Terpene Station,Terpene Station,,,,Lane,050-3131,,OR state data
OR,High Lakes Cannabis Company,High Lakes Cannabis Company,,,,Polk,050-3134,,OR state data
OR,The Farmers Daughters,The Farmers Daughters,,,,Curry,050-3480,,OR state data
OR,Stone Age Farmacy,Stone Age Farmacy,,,,Washington,050-3658,,OR state data
OR,Green Cross Cannabis Emporium,Green Cross Cannabis Emporium,,,,Washington,050-3686,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Josephine,050-3716,,OR state data
OR,Mr. Nice Guy Portland,Mr. Nice Guy Portland,,,,Multnomah,050-3727,,OR state data
OR,Angel Store,Angel Store,,,,Jackson,050-3748,,OR state data
OR,GM Dispensary,GM Dispensary,,,,Washington,050-3779,,OR state data
OR,Broadway Cannabis Market,Broadway Cannabis Market,,,,Multnomah,050-3898,,OR state data
OR,Minions,Minions,,,,Marion,050-3904,,OR state data
OR,Stinkin Budz,Stinkin Budz,,,,Marion,050-3915,,OR state data
OR,ADNA,ADNA,,,,Benton,050-4560,,OR state data
OR,Twenty After Four Wellness,Twenty After Four Wellness,,,,Lane,050-4747,,OR state data
OR,DiamondTREE,DiamondTREE,,,,Jefferson,050-1000076B368,,OR state data
OR,Happy Leaf,Happy Leaf,,,,Multnomah,050-1000146ACE7,,OR state data
OR,Oregon's Finest,Oregon's Finest,,,,Multnomah,050-1000162E337,,OR state data
OR,The Dispensary on 52nd,The Dispensary on 52nd,,,,Multnomah,050-1000236A6D2,,OR state data
OR,NoDak Green Prairie,NoDak Green Prairie,,,,Lane,050-1000345DEA9,,OR state data
OR,Tokyo Starfish,Tokyo Starfish,,,,Deschutes,050-1000360C340,,OR state data
OR,Green Goddess Remedies,Green Goddess Remedies,,,,Multnomah,050-1000365F3DF,,OR state data
OR,Kind Heart Collective,Kind Heart Collective,,,,Multnomah,050-1000396C575,,OR state data
OR,Evergreen Hood River,Evergreen Hood River,,,,Hood River,050-1000459CA6F,,OR state data
OR,Oregon Bud Company LLC,Oregon Bud Company LLC,,,,Washington,050-1000652B6CC,,OR state data
OR,La Mota,La Mota,,,,Douglas,050-1000779DEF8,,OR state data
OR,Oregon's Herbal Remedies,Oregon's Herbal Remedies,,,,Lane,050-1000929AF4B,,OR state data
OR,Eugene OG,Eugene OG,,,,Lane,050-1000954D8AD,,OR state data
OR,La Mota,La Mota,,,,Washington,050-1001367CE42,,OR state data
OR,Rogue River Herbal PMC,Rogue River Herbal PMC,,,,Jackson,050-1001576D112,,OR state data
OR,Serra Belmont,Serra Belmont,,,,Multnomah,050-1001606EE83,,OR state data
OR,Top Shelf Cannabis,Top Shelf Cannabis,,,,Yamhill,050-1001649DE75,,OR state data
OR,The Lucky Leaf,The Lucky Leaf,,,,Marion,050-1001843EA13,,OR state data
OR,The Green Planet,The Green Planet,,,,Washington,050-1002260AA4F,,OR state data
OR,The Joint on State,The Joint on State,,,,Marion,050-1002423E8DA,,OR state data
OR,The Green Planet,The Green Planet,,,,Clackamas,050-1002483A9C1,,OR state data
OR,Sweet Relief Tillamook,Sweet Relief Tillamook,,,,Tillamook,050-1002555FF29,,OR state data
OR,The Medication Station,The Medication Station,,,,Lane,050-1002566EF10,,OR state data
OR,Emerald City Dispensary,Emerald City Dispensary,,,,Columbia,050-1002710CD3B,,OR state data
OR,Oregon Coast Cannabis,Oregon Coast Cannabis,,,,Tillamook,050-1002834A6BC,,OR state data
OR,Buds 4 U,Buds 4 U,,,,Lane,050-1002850B56E,,OR state data
OR,La Mota,La Mota,,,,Multnomah,050-1002983CE7E,,OR state data
OR,Oregon Coast Dispensary Inc,Oregon Coast Dispensary Inc,,,,Lincoln,050-1003171DF64,,OR state data
OR,TRULY PURE,TRULY PURE,,,,Multnomah,050-1003244C082,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-1003306A6B6,,OR state data
OR,Nectar,Nectar,,,,Tillamook,050-1003307ED92,,OR state data
OR,Natural Wonders,Natural Wonders,,,,Multnomah,050-1003343AD7E,,OR state data
OR,Herbal Choices,Herbal Choices,,,,Coos,050-1003361BA17,,OR state data
OR,Gram Central Station,Gram Central Station,,,,Multnomah,050-1003433A4EA,,OR state data
OR,Club Sockeye,Club Sockeye,,,,Curry,050-1003493E0C7,,OR state data
OR,Deanz Greenz,Deanz Greenz,,,,Multnomah,050-1003518CE3D,,OR state data
OR,Pacific Green,Pacific Green,,,,Multnomah,050-1003636DAFA,,OR state data
OR,Positive Vibrations,Positive Vibrations,,,,Coos,050-1003813BCA1,,OR state data
OR,Sunray Cannabis,Sunray Cannabis,,,,Lincoln,050-1003823E63C,,OR state data
OR,Refinery Canna Connoisseur,Refinery Canna Connoisseur,,,,Multnomah,050-1003834AEE9,,OR state data
OR,The CDC Dispensary,The CDC Dispensary,,,,Washington,050-1003846F031,,OR state data
OR,"Today's Herbal Choice, Inc.","Today's Herbal Choice, Inc.",,,,Clackamas,050-1003857B96E,,OR state data
OR,La Cannaisseur,La Cannaisseur,,,,Multnomah,050-1003859B9F6,,OR state data
OR,DEFYNE PREMIUM CANNABIS,DEFYNE PREMIUM CANNABIS,,,,Washington,050-1003884B7AC,,OR state data
OR,Phresh Cannabis,Phresh Cannabis,,,,Washington,050-1003982A725,,OR state data
OR,"OG Collective, LLC","OG Collective, LLC",,,,Marion,050-1004029B8B0,,OR state data
OR,Going Green Grand Ronde,Going Green Grand Ronde,,,,Yamhill,050-1004054A790,,OR state data
OR,High Mountain Recreational,High Mountain Recreational,,,,Wasco,050-1004070FB52,,OR state data
OR,Lincoln City Collective,Lincoln City Collective,,,,Lincoln,050-1004082F8AD,,OR state data
OR,West,West,,,,Clatsop,050-1004135DBFA,,OR state data
OR,Tsunami Marijuana LLC,Tsunami Marijuana LLC,,,,Clatsop,050-1004244CF83,,OR state data
OR,Portland Canna Connection,Portland Canna Connection,,,,Multnomah,050-1004282BD55,,OR state data
OR,Tree House Collective,Tree House Collective,,,,Multnomah,050-1004294B93A,,OR state data
OR,Solutions of the Millennium LLC,Solutions of the Millennium LLC,,,,Lane,050-1004297C917,,OR state data
OR,Little Amsterdam Wellness Center,Little Amsterdam Wellness Center,,,,Multnomah,050-1004323E257,,OR state data
OR,Swed.co,Swed.co,,,,Multnomah,050-1004330B65D,,OR state data
OR,Substance,Substance,,,,Deschutes,050-1004487C310,,OR state data
OR,Redbarn Cannabis,Redbarn Cannabis,,,,Douglas,050-1004542CDD8,,OR state data
OR,Green Gratitude,Green Gratitude,,,,Multnomah,050-1004550B848,,OR state data
OR,Otis Collective,Otis Collective,,,,Lincoln,050-1004552C21B,,OR state data
OR,West,West,,,,Tillamook,050-1004602AE08,,OR state data
OR,Mr. Nice Guy Corvallis,Mr. Nice Guy Corvallis,,,,Benton,050-1004605A8E3,,OR state data
OR,Highway 420,Highway 420,,,,Clatsop,050-1004691B5CD,,OR state data
OR,Pur Roots,Pur Roots,,,,Multnomah,050-1004701F805,,OR state data
OR,Phresh Start LLC,Phresh Start LLC,,,,Lane,050-1004716B1DB,,OR state data
OR,Local Herb,Local Herb,,,,Multnomah,050-1004764F055,,OR state data
OR,Citi Zen,Citi Zen,,,,Tillamook,050-1004766AB16,,OR state data
OR,Deep Roots Cannabis,Deep Roots Cannabis,,,,Lane,050-1004923B1AA,,OR state data
OR,West Coast Organics,West Coast Organics,,,,Curry,050-1005050D2DA,,OR state data
OR,Doctor's Orders,Doctor's Orders,,,,Multnomah,050-1005063D72C,,OR state data
OR,Attis Trading Company,Attis Trading Company,,,,Multnomah,050-1005117D2A6,,OR state data
OR,Attis Trading Company,Attis Trading Company,,,,Multnomah,050-1005120BE71,,OR state data
OR,Attis Trading Company,Attis Trading Company,,,,Tillamook,050-1005162BFD5,,OR state data
OR,Redbarn Dispensary,Redbarn Dispensary,,,,Lane,050-1005168B9ED,,OR state data
OR,"Going Green Albany, Inc.","Going Green Albany, Inc.",,,,Linn,050-1005284C8D3,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-1005285C05B,,OR state data
OR,One Draw Two,One Draw Two,,,,Multnomah,050-1005314D346,,OR state data
OR,Forward Cannabis,Forward Cannabis,,,,Josephine,050-1005499C76F,,OR state data
OR,T.E.R.P Collective INC,T.E.R.P Collective INC,,,,Lincoln,050-1005537C257,,OR state data
OR,Green Lion,Green Lion,,,,Columbia,050-1005553BACC,,OR state data
OR,Weedbucks,Weedbucks,,,,Jackson,050-1005582DBA5,,OR state data
OR,Southern Oregon Cannabis Connection,Southern Oregon Cannabis Connection,,,,Josephine,050-1005629EC8B,,OR state data
OR,Reefer Madness,Reefer Madness,,,,Marion,050-1005776B2C0,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-1005889ADB7,,OR state data
OR,"High Desert Cannabis, LLC","High Desert Cannabis, LLC",,,,Umatilla,050-1006029FA55,,OR state data
OR,Green Box,Green Box,,,,Multnomah,050-1006105BAF2,,OR state data
OR,Oasis Cannabis,Oasis Cannabis,,,,Polk,050-1006107BBE8,,OR state data
OR,Papa Buds,Papa Buds,,,,Multnomah,050-1006287B0C6,,OR state data
OR,"Wild West Emporium, Sandy Blvd","Wild West Emporium, Sandy Blvd",,,,Multnomah,050-1006325AD11,,OR state data
OR,Speedy Janes,Speedy Janes,,,,Washington,050-1006350ECEF,,OR state data
OR,Rip City Delivery,Rip City Delivery,,,,Multnomah,050-1006368EB36,,OR state data
OR,Green Muse LLC,Green Muse LLC,,,,Multnomah,050-1006382C6BF,,OR state data
OR,Green Therapy,Green Therapy,,,,Lane,050-1006519C12E,,OR state data
OR,Floyd's Fine Cannabis,Floyd's Fine Cannabis,,,,Multnomah,050-1006884F4A9,,OR state data
OR,CannaVida,CannaVida,,,,Deschutes,050-1006946EE11,,OR state data
OR,Treestar,Treestar,,,,Marion,050-1007069E349,,OR state data
OR,La Mota,La Mota,,,,Washington,050-1007207EDB9,,OR state data
OR,The Greener Side Detroit Lake,The Greener Side Detroit Lake,,,,Lane,050-1007242C532,,OR state data
OR,Cookies,Cookies,,,,Multnomah,050-1007334E153,,OR state data
OR,Cookies,Cookies,,,,Benton,050-1007382E249,,OR state data
OR,Four Seasons Dispensary and Resource Center,Four Seasons Dispensary and Resource Center,,,,Linn,050-1007437F64E,,OR state data
OR,Hyroot Organics,Hyroot Organics,,,,Deschutes,050-1007465E4E4,,OR state data
OR,HASHSTORIA,HASHSTORIA,,,,Clatsop,050-1007581CF85,,OR state data
OR,Lemonnade PDX,Lemonnade PDX,,,,Multnomah,050-1007585AD54,,OR state data
OR,Floyd's Fine Cannabis,Floyd's Fine Cannabis,,,,Multnomah,050-1007632F435,,OR state data
OR,Hierba Buena,Hierba Buena,,,,Marion,050-1007695C5F7,,OR state data
OR,La Mota,La Mota,,,,Jackson,050-1007724B972,,OR state data
OR,La Mota,La Mota,,,,Clackamas,050-1007806B0B8,,OR state data
OR,La Mota SW Portland,La Mota SW Portland,,,,Multnomah,050-1008270BB4F,,OR state data
OR,Nectar,Nectar,,,,Washington,050-1008285A7DD,,OR state data
OR,Mr. Nice Guy Market St,Mr. Nice Guy Market St,,,,Marion,050-1008335A9E3,,OR state data
OR,Mr. Nice Guy Lebanon,Mr. Nice Guy Lebanon,,,,Linn,050-1008370DC68,,OR state data
OR,Hippy Trip,Hippy Trip,,,,Lincoln,050-1008663DE73,,OR state data
OR,FX 420 INC,FX 420 INC,,,,Douglas,050-1008712E87C,,OR state data
OR,Mr. Nice Guy - 3rd St,Mr. Nice Guy - 3rd St,,,,Benton,050-1008848DCF8,,OR state data
OR,La Mota Brookings,La Mota Brookings,,,,Curry,050-1009085FCAD,,OR state data
OR,PottonMouth Retail Cannabis,PottonMouth Retail Cannabis,,,,Yamhill,050-1009127E8AF,,OR state data
OR,Nectar Markets,Nectar Markets,,,,Lane,050-1009286BD03,,OR state data
OR,Kanopy 7,Kanopy 7,,,,Jackson,050-1009362B0FF,,OR state data
OR,Preserve Oregon,Preserve Oregon,,,,Marion,050-1009465D34F,,OR state data
OR,Electric Lettuce Denny,Electric Lettuce Denny,,,,Washington,050-1009489D6FC,,OR state data
OR,La Mota Medford 3,La Mota Medford 3,,,,Jackson,050-1010491A550,,OR state data
OR,"Today's Herbal Choice Barbur, LLC","Today's Herbal Choice Barbur, LLC",,,,Multnomah,050-1010496F611,,OR state data
OR,The Bake Shop,The Bake Shop,,,,Marion,050-1010641CEDD,,OR state data
OR,Nectar,Nectar,,,,Lane,050-1010695C070,,OR state data
OR,Green Knottz Madras,Green Knottz Madras,,,,Jefferson,050-1010724DE65,,OR state data
OR,Yachats Cannabis Company,Yachats Cannabis Company,,,,Lincoln,050-1011062F6DA,,OR state data
OR,Simple Cannabis Co.,Simple Cannabis Co.,,,,Marion,050-1011108FB30,,OR state data
OR,Tokyo Starfish 3,Tokyo Starfish 3,,,,Deschutes,050-1011273FDDC,,OR state data
OR,Nectar Markets,Nectar Markets,,,,Multnomah,050-1011298F0B2,,OR state data
OR,Redbarn Dispensary,Redbarn Dispensary,,,,Douglas,050-1011388D21A,,OR state data
OR,LA MOTA,LA MOTA,,,,Jackson,050-1011537E502,,OR state data
OR,La Mota,La Mota,,,,Lane,050-1011581AD4E,,OR state data
OR,La Mota,La Mota,,,,Coos,050-1011585E7DC,,OR state data
OR,Urban Canna Apothecary,Urban Canna Apothecary,,,,Lane,050-1011666F84B,,OR state data
OR,Top Shelf Medicine,Top Shelf Medicine,,,,Lincoln,050-1011675DFC6,,OR state data
OR,Nectar,Nectar,,,,Washington,050-1011685A401,,OR state data
OR,Nectar,Nectar,,,,Washington,050-1011718F505,,OR state data
OR,"Nectar Markets, LLC","Nectar Markets, LLC",,,,Multnomah,050-1011795F274,,OR state data
OR,Big Medicine Botanicals llc,Big Medicine Botanicals llc,,,,Multnomah,050-1011885C837,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Douglas,050-1012006BB1E,,OR state data
OR,Electric Lettuce Holgate,Electric Lettuce Holgate,,,,Multnomah,050-1012021E786,,OR state data
OR,Old School Bliss,Old School Bliss,,,,Lane,050-1012077A338,,OR state data
OR,Top Shelf Wellness Center,Top Shelf Wellness Center,,,,Jackson,050-1012246E7D7,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Linn,050-1012475B14E,,OR state data
OR,Red Barn Dispensary,Red Barn Dispensary,,,,Coos,050-1012479EF11,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Klamath,050-1012488B7F2,,OR state data
OR,House of Hash,House of Hash,,,,Deschutes,050-1012526D914,,OR state data
OR,Zion Cannabis,Zion Cannabis,,,,Multnomah,050-1012690FAAC,,OR state data
OR,"17 Farms, LLC","17 Farms, LLC",,,,Linn,050-1012716F28A,,OR state data
OR,Good Good,Good Good,,,,Columbia,050-1012848DB9F,,OR state data
OR,OG Collective,OG Collective,,,,Polk,050-1012871B839,,OR state data
OR,Western Oregon Dispensary,Western Oregon Dispensary,,,,Washington,050-1012887F9A0,,OR state data
OR,Electric Lettuce Alberta,Electric Lettuce Alberta,,,,Multnomah,050-1013239D34B,,OR state data
OR,Farma,Farma,,,,Multnomah,050-1013305B57E,,OR state data
OR,Ascend Dispensary,Ascend Dispensary,,,,Multnomah,050-1013413CA5B,,OR state data
OR,Top Shelf Wellness Center,Top Shelf Wellness Center,,,,Jackson,050-1013444DEA1,,OR state data
OR,Canna Daddy's,Canna Daddy's,,,,Multnomah,050-1013745FADA,,OR state data
OR,La Mota,La Mota,,,,Marion,050-1013753ACFE,,OR state data
OR,Oregon Euphorics,Oregon Euphorics,,,,Deschutes,050-1013874BDF5,,OR state data
OR,BLOOMINATI CANNABIS CORP.,BLOOMINATI CANNABIS CORP.,,,,Washington,050-1013962E065,,OR state data
OR,Five Zero Trees Oregon City,Five Zero Trees Oregon City,,,,Clackamas,050-1014054E333,,OR state data
OR,High Lakes Cannabis Co,High Lakes Cannabis Co,,,,Klamath,050-1014111B782,,OR state data
OR,Floyd's Fine Cannabis,Floyd's Fine Cannabis,,,,Multnomah,050-1014115A716,,OR state data
OR,Amberlight Cannabis House,Amberlight Cannabis House,,,,Multnomah,050-1014138FB3D,,OR state data
OR,Treasure Valley Cannabis Company,Treasure Valley Cannabis Company,,,,Malheur,050-1014181B573,,OR state data
OR,Emerald Triangle Dispensary,Emerald Triangle Dispensary,,,,Klamath,050-1014325BA52,,OR state data
OR,The Green Planet,The Green Planet,,,,Clackamas,050-1014408AB28,,OR state data
OR,Phresh Start,Phresh Start,,,,Lane,050-1014500F406,,OR state data
OR,Electric Lettuce Old Town,Electric Lettuce Old Town,,,,Multnomah,050-1014530D0F6,,OR state data
OR,Buzz Box,Buzz Box,,,,Multnomah,050-1014534AF69,,OR state data
OR,Discovery Cannabis,Discovery Cannabis,,,,Lincoln,050-1014594A9CC,,OR state data
OR,TJ's On The Alley,TJ's On The Alley,,,,Lane,050-1014653D811,,OR state data
OR,southern oregon cannabis connection,southern oregon cannabis connection,,,,Jackson,050-1014846FBEA,,OR state data
OR,Gnome Grown Oregon,Gnome Grown Oregon,,,,Multnomah,050-1014882C655,,OR state data
OR,Green Lion,Green Lion,,,,Coos,050-1014898CB9E,,OR state data
OR,Nectar,Nectar,,,,Washington,050-1015130EFE0,,OR state data
OR,Green Lion,Green Lion,,,,Multnomah,050-1015135E4D3,,OR state data
OR,Eden,Eden,,,,Marion,050-1015197A5ED,,OR state data
OR,Green Lion,Green Lion,,,,Multnomah,050-1015404D292,,OR state data
OR,Kaleafa,Kaleafa,,,,Clackamas,050-1015536CD46,,OR state data
OR,Nectar,Nectar,,,,Multnomah,050-1015716BDCC,,OR state data
OR,Weed Land Inc,Weed Land Inc,,,,Multnomah,050-1015918D2F6,,OR state data
OR,Green Room (South),Green Room (South),,,,Benton,050-1015927ADFE,,OR state data
OR,Broadway Cannabis Market,Broadway Cannabis Market,,,,Washington,050-1016124DFA1,,OR state data
OR,Top Shelf Wellness Center,Top Shelf Wellness Center,,,,Jackson,050-1016131A101,,OR state data
OR,Shango Premium Cannabis,Shango Premium Cannabis,,,,Multnomah,050-1016133E0F5,,OR state data
OR,Peach Cannabis,Peach Cannabis,,,,Lane,050-1016162FFA8,,OR state data
OR,Justice Cannabis Company,Justice Cannabis Company,,,,Marion,050-1016172E2AC,,OR state data
OR,LUCKY LION,LUCKY LION,,,,Multnomah,050-1016201C7BC,,OR state data
OR,Lifted Northwest,Lifted Northwest,,,,Multnomah,050-1016274AD84,,OR state data
OR,High Lakes,High Lakes,,,,Klamath,050-1016350B982,,OR state data
OR,The Red Eye,The Red Eye,,,,Malheur,050-1016408A189,,OR state data
OR,The Herb Center,The Herb Center,,,,Deschutes,050-1016525DC37,,OR state data
OR,Mr. Nice Guy Springfield,Mr. Nice Guy Springfield,,,,Lane,050-1016536C5D3,,OR state data
OR,Arcanna,Arcanna,,,,Multnomah,050-1016538BD86,,OR state data
OR,Dr. Jolly's,Dr. Jolly's,,,,Deschutes,050-1016622D255,,OR state data
OR,River City Retail,River City Retail,,,,Josephine,050-1016693DF27,,OR state data
OR,Nectar,Nectar,,,,Washington,050-1016773ED2A,,OR state data
OR,POPS' LLC,POPS' LLC,,,,Curry,050-1016923EE82,,OR state data
OR,Cookies,Cookies,,,,Lane,050-1017143AEF5,,OR state data
OR,Farmer Ken's,Farmer Ken's,,,,Lincoln,050-1017168D93A,,OR state data
OR,Stokes Cannabis,Stokes Cannabis,,,,Marion,050-1017194C683,,OR state data
OR,Highly Cultivated Brands,Highly Cultivated Brands,,,,Polk,050-1017243C0D9,,OR state data
OR,High Tide NW LLC,High Tide NW LLC,,,,Coos,050-1017254B390,,OR state data
